season,round,raceName,date,Circuit_circuitId,Circuit_circuitName,Circuit_Location_locality,Circuit_Location_country,Sprint_date
2020,1,Austrian Grand Prix,2020-07-05,red_bull_ring,Red Bull Ring,Spielberg,Austria,
2020,2,Styrian Grand Prix,2020-07-12,red_bull_ring,Red Bull Ring,Spielberg,Austria,
2020,3,Hungarian Grand Prix,2020-07-19,hungaroring,Hungaroring,Budapest,Hungary,
2020,4,British Grand Prix,2020-08-02,silverstone,Silverstone Circuit,Silverstone,UK,
2020,5,70th Anniversary Grand Prix,2020-08-09,silverstone,Silverstone Circuit,Silverstone,UK,
2020,6,Spanish Grand Prix,2020-08-16,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,
2020,7,Belgian Grand Prix,2020-08-30,spa,Circuit de Spa-Francorchamps,Spa,Belgium,
2020,8,Italian Grand Prix,2020-09-06,monza,Autodromo Nazionale di Monza,Monza,Italy,
2020,9,Tuscan Grand Prix,2020-09-13,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,
2020,10,Russian Grand Prix,2020-09-27,sochi,Sochi Autodrom,Sochi,Russia,
2020,11,Eifel Grand Prix,2020-10-11,nurburgring,Nürburgring,Nürburg,Germany,
2020,12,Portuguese Grand Prix,2020-10-25,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,
2020,13,Emilia Romagna Grand Prix,2020-11-01,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,
2020,14,Turkish Grand Prix,2020-11-15,istanbul,Istanbul Park,Istanbul,Turkey,
2020,15,Bahrain Grand Prix,2020-11-29,bahrain,Bahrain International Circuit,Sakhir,Bahrain,
2020,16,Sakhir Grand Prix,2020-12-06,bahrain,Bahrain International Circuit,Sakhir,Bahrain,
2020,17,Abu Dhabi Grand Prix,2020-12-13,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,
2021,1,Bahrain Grand Prix,2021-03-28,bahrain,Bahrain International Circuit,Sakhir,Bahrain,
2021,2,Emilia Romagna Grand Prix,2021-04-18,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,
2021,3,Portuguese Grand Prix,2021-05-02,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,
2021,4,Spanish Grand Prix,2021-05-09,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,
2021,5,Monaco Grand Prix,2021-05-23,monaco,Circuit de Monaco,Monte-Carlo,Monaco,
2021,6,Azerbaijan Grand Prix,2021-06-06,baku,Baku City Circuit,Baku,Azerbaijan,
2021,7,French Grand Prix,2021-06-20,ricard,Circuit Paul Ricard,Le Castellet,France,
2021,8,Styrian Grand Prix,2021-06-27,red_bull_ring,Red Bull Ring,Spielberg,Austria,
2021,9,Austrian Grand Prix,2021-07-04,red_bull_ring,Red Bull Ring,Spielberg,Austria,
2021,10,British Grand Prix,2021-07-18,silverstone,Silverstone Circuit,Silverstone,UK,2021-07-17
2021,11,Hungarian Grand Prix,2021-08-01,hungaroring,Hungaroring,Budapest,Hungary,
2021,12,Belgian Grand Prix,2021-08-29,spa,Circuit de Spa-Francorchamps,Spa,Belgium,
2021,13,Dutch Grand Prix,2021-09-05,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,
2021,14,Italian Grand Prix,2021-09-12,monza,Autodromo Nazionale di Monza,Monza,Italy,2021-09-11
2021,15,Russian Grand Prix,2021-09-26,sochi,Sochi Autodrom,Sochi,Russia,
2021,16,Turkish Grand Prix,2021-10-10,istanbul,Istanbul Park,Istanbul,Turkey,
2021,17,United States Grand Prix,2021-10-24,americas,Circuit of the Americas,Austin,USA,
2021,18,Mexico City Grand Prix,2021-11-07,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,
2021,19,São Paulo Grand Prix,2021-11-14,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,2021-11-13
2021,20,Qatar Grand Prix,2021-11-21,losail,Losail International Circuit,Al Daayen,Qatar,
2021,21,Saudi Arabian Grand Prix,2021-12-05,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,
2021,22,Abu Dhabi Grand Prix,2021-12-12,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,
2022,1,Bahrain Grand Prix,2022-03-20,bahrain,Bahrain International Circuit,Sakhir,Bahrain,
2022,2,Saudi Arabian Grand Prix,2022-03-27,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,
2022,3,Australian Grand Prix,2022-04-10,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,
2022,4,Emilia Romagna Grand Prix,2022-04-24,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,2022-04-23
2022,5,Miami Grand Prix,2022-05-08,miami,Miami International Autodrome,Miami,USA,
2022,6,Spanish Grand Prix,2022-05-22,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,
2022,7,Monaco Grand Prix,2022-05-29,monaco,Circuit de Monaco,Monte-Carlo,Monaco,
2022,8,Azerbaijan Grand Prix,2022-06-12,baku,Baku City Circuit,Baku,Azerbaijan,
2022,9,Canadian Grand Prix,2022-06-19,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,
2022,10,British Grand Prix,2022-07-03,silverstone,Silverstone Circuit,Silverstone,UK,
2022,11,Austrian Grand Prix,2022-07-10,red_bull_ring,Red Bull Ring,Spielberg,Austria,2022-07-09
2022,12,French Grand Prix,2022-07-24,ricard,Circuit Paul Ricard,Le Castellet,France,
2022,13,Hungarian Grand Prix,2022-07-31,hungaroring,Hungaroring,Budapest,Hungary,
2022,14,Belgian Grand Prix,2022-08-28,spa,Circuit de Spa-Francorchamps,Spa,Belgium,
2022,15,Dutch Grand Prix,2022-09-04,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,
2022,16,Italian Grand Prix,2022-09-11,monza,Autodromo Nazionale di Monza,Monza,Italy,
2022,17,Singapore Grand Prix,2022-10-02,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,
2022,18,Japanese Grand Prix,2022-10-09,suzuka,Suzuka Circuit,Suzuka,Japan,
2022,19,United States Grand Prix,2022-10-23,americas,Circuit of the Americas,Austin,USA,
2022,20,Mexico City Grand Prix,2022-10-30,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,
2022,21,Brazilian Grand Prix,2022-11-13,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,2022-11-12
2022,22,Abu Dhabi Grand Prix,2022-11-20,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,
